year,race,sex,age_group,population
2013,Yellow,Male,0-4,42192
2013,Yellow,Male,5-9,48850
2013,Yellow,Male,10-14,53418
2013,Yellow,Male,15-19,54539
2013,Yellow,Male,20-24,60725
2013,Yellow,Male,25-29,62424
2013,Yellow,Male,30-34,59300
2013,Yellow,Male,35-39,53415
2013,Yellow,Male,40-44,50889
2013,Yellow,Male,45-49,45880
2013,Yellow,Male,50-54,40939
2013,Yellow,Male,55-59,37627
2013,Yellow,Male,60-64,34342
2013,Yellow,Male,65-69,28870
2013,Yellow,Male,70-74,24317
2013,Yellow,Male,75-79,16185
2013,Yellow,Male,80+,17214
2013,Yellow,Female,0-4,39921
2013,Yellow,Female,5-9,47055
2013,Yellow,Female,10-14,55394
2013,Yellow,Female,15-19,64782
2013,Yellow,Female,20-24,75623
2013,Yellow,Female,25-29,77505
2013,Yellow,Female,30-34,72055
2013,Yellow,Female,35-39,64528
2013,Yellow,Female,40-44,60795
2013,Yellow,Female,45-49,54054
2013,Yellow,Female,50-54,47399
2013,Yellow,Female,55-59,43748
2013,Yellow,Female,60-64,39648
2013,Yellow,Female,65-69,33362
2013,Yellow,Female,70-74,28024
2013,Yellow,Female,75-79,19798
2013,Yellow,Female,80+,24364
2013,Indigenous,Male,0-4,54531
2013,Indigenous,Male,5-9,53705
2013,Indigenous,Male,10-14,50725
2013,Indigenous,Male,15-19,44943
2013,Indigenous,Male,20-24,40483
2013,Indigenous,Male,25-29,35237
2013,Indigenous,Male,30-34,30206
2013,Indigenous,Male,35-39,26586
2013,Indigenous,Male,40-44,22794
2013,Indigenous,Male,45-49,19373
2013,Indigenous,Male,50-54,15708
2013,Indigenous,Male,55-59,13024
2013,Indigenous,Male,60-64,10452
2013,Indigenous,Male,65-69,8108
2013,Indigenous,Male,70-74,6048
2013,Indigenous,Male,75-79,3912
2013,Indigenous,Male,80+,4724
2013,Indigenous,Female,0-4,53018
2013,Indigenous,Female,5-9,51853
2013,Indigenous,Female,10-14,49054
2013,Indigenous,Female,15-19,43926
2013,Indigenous,Female,20-24,39043
2013,Indigenous,Female,25-29,34533
2013,Indigenous,Female,30-34,30159
2013,Indigenous,Female,35-39,26146
2013,Indigenous,Female,40-44,22447
2013,Indigenous,Female,45-49,19478
2013,Indigenous,Female,50-54,16148
2013,Indigenous,Female,55-59,14182
2013,Indigenous,Female,60-64,11749
2013,Indigenous,Female,65-69,9338
2013,Indigenous,Female,70-74,6827
2013,Indigenous,Female,75-79,4616
2013,Indigenous,Female,80+,6647
2014,White,Male,0-4,3213737
2014,White,Male,5-9,3156026
2014,White,Male,10-14,3293161
2014,White,Male,15-19,3315347
2014,White,Male,20-24,3513137
2014,White,Male,25-29,3538724
2014,White,Male,30-34,3354577
2014,White,Male,35-39,3141676
2014,White,Male,40-44,3071253
2014,White,Male,45-49,2801405
2014,White,Male,50-54,2516079
2014,White,Male,55-59,2182970
2014,White,Male,60-64,1789719
2014,White,Male,65-69,1352477
2014,White,Male,70-74,1029145
2014,White,Male,75-79,687354
2014,White,Male,80+,727080
2014,White,Female,0-4,3146098
2014,White,Female,5-9,3095779
2014,White,Female,10-14,3230908
2014,White,Female,15-19,3361782
2014,White,Female,20-24,3630529
2014,White,Female,25-29,3741914
2014,White,Female,30-34,3628247
2014,White,Female,35-39,3476904
2014,White,Female,40-44,3425364
2014,White,Female,45-49,3166787
2014,White,Female,50-54,2864629
2014,White,Female,55-59,2529819
2014,White,Female,60-64,2116923
2014,White,Female,65-69,1661802
2014,White,Female,70-74,1342794
2014,White,Female,75-79,981979
2014,White,Female,80+,1274285
2014,Black,Male,0-4,359353
2014,Black,Male,5-9,481930
2014,Black,Male,10-14,595981
2014,Black,Male,15-19,687513
2014,Black,Male,20-24,780699
2014,Black,Male,25-29,811792
2014,Black,Male,30-34,776473
2014,Black,Male,35-39,716448
2014,Black,Male,40-44,681091
2014,Black,Male,45-49,583894
2014,Black,Male,50-54,503507
2014,Black,Male,55-59,402943
2014,Black,Male,60-64,313730
2014,Black,Male,65-69,228367
2014,Black,Male,70-74,164245
2014,Black,Male,75-79,102730
2014,Black,Male,80+,106629
2014,Black,Female,0-4,332976
2014,Black,Female,5-9,436335
2014,Black,Female,10-14,532295
2014,Black,Female,15-19,609684
2014,Black,Female,20-24,695259
2014,Black,Female,25-29,723598
2014,Black,Female,30-34,689586
2014,Black,Female,35-39,639855
2014,Black,Female,40-44,613570
2014,Black,Female,45-49,544875
2014,Black,Female,50-54,491433
2014,Black,Female,55-59,414005
2014,Black,Female,60-64,337466
2014,Black,Female,65-69,256883
2014,Black,Female,70-74,195665
2014,Black,Female,75-79,131082
2014,Black,Female,80+,156669
2014,Brown,Male,0-4,3112390
2014,Brown,Male,5-9,3625910
2014,Brown,Male,10-14,4067655
2014,Brown,Male,15-19,3971845
2014,Brown,Male,20-24,3873338
2014,Brown,Male,25-29,3655148
2014,Brown,Male,30-34,3377111
2014,Brown,Male,35-39,3112740
2014,Brown,Male,40-44,2898096
2014,Brown,Male,45-49,2462126
2014,Brown,Male,50-54,2082555
2014,Brown,Male,55-59,1688794
2014,Brown,Male,60-64,1321039
2014,Brown,Male,65-69,970989
2014,Brown,Male,70-74,699143
2014,Brown,Male,75-79,433850
2014,Brown,Male,80+,445774
2014,Brown,Female,0-4,2978055
2014,Brown,Female,5-9,3456390
2014,Brown,Female,10-14,3897438
2014,Brown,Female,15-19,3816263
2014,Brown,Female,20-24,3790947
2014,Brown,Female,25-29,3715566
2014,Brown,Female,30-34,3513235
2014,Brown,Female,35-39,3244259
2014,Brown,Female,40-44,3010737
2014,Brown,Female,45-49,2605785
2014,Brown,Female,50-54,2240104
2014,Brown,Female,55-59,1866202
2014,Brown,Female,60-64,1471016
2014,Brown,Female,65-69,1100627
2014,Brown,Female,70-74,817309
2014,Brown,Female,75-79,531768
2014,Brown,Female,80+,619796
2014,Yellow,Male,0-4,37352
2014,Yellow,Male,5-9,43387
2014,Yellow,Male,10-14,47334
2014,Yellow,Male,15-19,48640
2014,Yellow,Male,20-24,54269
2014,Yellow,Male,25-29,55901
2014,Yellow,Male,30-34,53864
2014,Yellow,Male,35-39,49663
2014,Yellow,Male,40-44,47955
2014,Yellow,Male,45-49,42957
2014,Yellow,Male,50-54,38757
2014,Yellow,Male,55-59,35876
2014,Yellow,Male,60-64,32874
2014,Yellow,Male,65-69,28084
2014,Yellow,Male,70-74,23932
2014,Yellow,Male,75-79,16158
2014,Yellow,Male,80+,17355
2014,Yellow,Female,0-4,35362
2014,Yellow,Female,5-9,41674
2014,Yellow,Female,10-14,48726
2014,Yellow,Female,15-19,56849
2014,Yellow,Female,20-24,66697
2014,Yellow,Female,25-29,68615
2014,Yellow,Female,30-34,64664
2014,Yellow,Female,35-39,59343
2014,Yellow,Female,40-44,56612
